user_id,brand,month,compras,compras_anteriores,compras_futuras
447698613,oppo,2019-10-01,2,0,2.0
455760356,unknown,2019-10-01,1,0,1.0
458443142,samsung,2019-10-01,1,0,1.0
465832070,unknown,2019-10-01,3,0,2.0
480434060,oppo,2019-10-01,1,0,1.0
486098806,meizu,2019-10-01,1,0,1.0
489085769,unknown,2019-10-01,2,0,1.0
499012015,apple,2019-10-01,1,0,1.0
502206879,unknown,2019-10-01,1,0,1.0
507271525,samsung,2019-10-01,1,0,2.0
512363650,unknown,2019-10-01,10,0,1.0
512363791,xiaomi,2019-10-01,3,0,1.0
512363853,samsung,2019-10-01,1,0,1.0
512363895,lucente,2019-10-01,1,0,1.0
512363895,lux,2019-10-01,5,0,1.0
512363901,maxwell,2019-10-01,1,0,1.0
512363921,lucente,2019-10-01,1,0,2.0
512363973,oppo,2019-10-01,5,0,4.0
512363973,xiaomi,2019-10-01,2,0,4.0
512363997,yokohama,2019-10-01,1,0,5.0
512364022,samsung,2019-10-01,1,0,2.0
512364309,unknown,2019-10-01,2,0,4.0
512364323,apple,2019-10-01,3,0,18.0
512364323,samsung,2019-10-01,5,0,1.0
512364323,sony,2019-10-01,17,0,1.0
512364709,xiaomi,2019-10-01,5,0,1.0
512364736,apple,2019-10-01,3,0,8.0
512364746,samsung,2019-10-01,1,0,1.0
512364863,unknown,2019-10-01,3,0,2.0
512365244,unknown,2019-10-01,1,0,1.0
512365317,unknown,2019-10-01,2,0,1.0
512365496,apple,2019-10-01,3,0,2.0
512365521,elenberg,2019-10-01,2,0,1.0
512365722,apple,2019-10-01,4,0,5.0
512365729,janome,2019-10-01,2,0,3.0
512365732,samsung,2019-10-01,1,0,1.0
512365815,samsung,2019-10-01,1,0,2.0
512365864,ibox,2019-10-01,2,0,2.0
512365864,starline,2019-10-01,1,0,6.0
512365864,unknown,2019-10-01,4,0,5.0
512366225,huawei,2019-10-01,1,0,1.0
512366339,huawei,2019-10-01,1,0,1.0
512366358,apple,2019-10-01,1,0,3.0
512366358,unknown,2019-10-01,1,0,3.0
512366378,samsung,2019-10-01,4,0,1.0
512366378,unknown,2019-10-01,1,0,1.0
512366683,unknown,2019-10-01,1,0,1.0
512366705,apple,2019-10-01,1,0,4.0
512366835,unknown,2019-10-01,3,0,1.0
512366887,samsung,2019-10-01,1,0,1.0
512367296,unknown,2019-10-01,3,0,2.0
512367358,askona,2019-10-01,1,0,2.0
512367376,unknown,2019-10-01,1,0,1.0
512367412,xiaomi,2019-10-01,1,0,1.0
512367449,samsung,2019-10-01,3,0,1.0
512367534,unknown,2019-10-01,2,0,1.0
512367587,stels,2019-10-01,3,0,1.0
512367668,samsung,2019-10-01,1,0,4.0
512367865,sokolov,2019-10-01,1,0,1.0
512367874,lumene,2019-10-01,1,0,1.0
512367874,luxvisage,2019-10-01,3,0,3.0
512367874,unknown,2019-10-01,2,0,2.0
512367888,apple,2019-10-01,1,0,1.0
512367955,samsung,2019-10-01,1,0,1.0
512368168,apple,2019-10-01,1,0,1.0
512368168,viatti,2019-10-01,1,0,1.0
512368308,apple,2019-10-01,1,0,1.0
512368678,apple,2019-10-01,5,0,7.0
512368833,apple,2019-10-01,1,0,4.0
512368941,samsung,2019-10-01,3,0,2.0
512369153,huawei,2019-10-01,2,0,1.0
512369246,jbl,2019-10-01,1,0,3.0
512369252,samsung,2019-10-01,3,0,3.0
512369688,unknown,2019-10-01,3,0,1.0
512369785,apple,2019-10-01,5,0,3.0
512369878,asus,2019-10-01,2,0,6.0
512369878,canon,2019-10-01,3,0,7.0
512369878,transcend,2019-10-01,3,0,2.0
512369885,apple,2019-10-01,8,0,8.0
512369885,samsung,2019-10-01,1,0,4.0
512369885,unknown,2019-10-01,1,0,1.0
512369908,apple,2019-10-01,1,0,2.0
512370018,apple,2019-10-01,3,0,1.0
512370073,apple,2019-10-01,4,0,4.0
512370162,apple,2019-10-01,6,0,17.0
512370698,sv,2019-10-01,1,0,1.0
512371090,unknown,2019-10-01,1,0,1.0
512371110,apple,2019-10-01,1,0,1.0
512371555,casio,2019-10-01,3,0,1.0
512371555,rivertoys,2019-10-01,7,0,1.0
512371555,samsung,2019-10-01,2,0,14.0
